date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2019-05-24	37.02	37.38	36.22	36.29	36.04	35758528	35758528	-0.7325	-1.97	36.7275	May 24, 19	-0.0197
2019-05-28	36.47	36.8	35.81	35.83	35.59	42835408	42835408	-0.6325	-1.75	36.2275	May 28, 19	-0.0175
2019-05-29	35.35	35.71	34.74	35.09	34.85	55980148	55980148	-0.2675	-0.7355	35.2225	May 29, 19	-0.007355
2019-05-30	35.08	35.44	34.39	34.78	34.58	39429960	39429960	-0.3	-0.85519	34.9225	May 30, 19	-0.0085519
2019-05-31	34.28	34.61	33.85	33.87	33.67	38971968	38971968	-0.42	-1.2	34.1525	May 31, 19	-0.012
2019-06-03	33.98	34.37	33.15	33.45	33.26	47864320	47864320	-0.5325	-1.56	33.7375	June 03, 19	-0.0156
2019-06-04	34.09	35.8	33.87	35.75	35.55	64183540	64183540	1.66	4.87	34.8775	June 04, 19	0.0487
2019-06-05	36.49	36.55	34.96	35.32	35.12	51161540	51161540	-1.17	-3.21	35.83	June 05, 19	-0.0321
2019-06-06	35.36	36.19	35.34	35.95	35.74	40813848	40813848	0.5825	1.67	35.71	June 06, 19	0.0167
2019-06-07	36.01	36.72	35.81	36.38	36.17	34885752	34885752	0.37	1.03	36.23	June 07, 19	0.0103
2019-06-10	36.94	37.8	36.94	37.11	36.9	40278088	40278088	0.1675	0.46021	37.1975	June 10, 19	0.0046021
2019-06-11	37.71	38.09	37.29	37.69	37.47	38387004	38387004	-0.0225	-0.05303633	37.695	June 11, 19	-0.0005303633
2019-06-12	37.25	37.31	36.4	36.55	36.34	35889192	35889192	-0.7	-1.88	36.8775	June 12, 19	-0.0188
2019-06-13	36.77	37.25	36.6	37.07	36.86	30808108	30808108	0.2925	0.81588	36.9225	June 13, 19	0.0081588
2019-06-14	36.13	36.37	35.71	36.16	35.96	39442624	39442624	0.0325	0.08303349	36.0925	June 14, 19	0.0008303349
2019-06-17	36.14	36.63	35.91	36.26	36.05	27604148	27604148	0.115	0.33204	36.235	June 17, 19	0.0033204
2019-06-18	36.88	38.78	36.77	38.22	38.0	58191800	58191800	1.34	3.63	37.6625	June 18, 19	0.0363
